,Pclass,SibSp,Parch,Sex_female,Sex_male,Age_Children,Age_Teenage,Age_Adult,Age_Elder,Embarked_C,Embarked_Q,Embarked_S,Fare_Low_fare,Fare_median_fare,Fare_Average_fare,Fare_high_fare
186,3,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
187,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
188,3,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
189,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
190,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
191,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
192,3,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
193,2,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
194,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
195,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
196,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
197,3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
198,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
199,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
200,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
201,3,8,2,0,1,0,0,1,0,0,0,1,0,0,0,1
202,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
203,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
204,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
205,3,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
206,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
207,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
208,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
209,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
210,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
211,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
212,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
213,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
214,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
215,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
216,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
217,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
218,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
219,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
220,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
221,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
222,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
223,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
224,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
225,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
226,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
227,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
228,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
229,3,3,1,1,0,0,0,1,0,0,0,1,0,0,1,0
230,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
231,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
232,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
233,3,4,2,1,0,1,0,0,0,0,0,1,0,0,0,1
234,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
235,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
236,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
237,2,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0
238,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
239,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
240,3,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
241,3,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
242,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
243,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
244,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
245,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1
246,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
247,2,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0
248,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1
249,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
250,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
251,3,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0
252,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
253,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
254,3,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0
255,3,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0
256,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
257,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
258,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
259,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
260,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
261,3,4,2,0,1,1,0,0,0,0,0,1,0,0,0,1
262,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1
263,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
264,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
265,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
266,3,4,1,0,1,0,1,0,0,0,0,1,0,0,0,1
267,3,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
268,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
269,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
270,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
271,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
272,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
273,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
274,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
275,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
276,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
277,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
278,3,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0
279,3,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
280,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
281,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
282,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
283,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
284,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
285,3,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
286,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
287,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
288,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
289,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
290,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
291,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
292,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
293,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
294,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
295,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
296,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
297,1,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0
298,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
299,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
300,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
301,3,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0
302,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
303,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
304,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
305,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0
306,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
307,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
308,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
309,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
310,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
311,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0
312,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
313,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
314,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
315,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
316,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
317,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
318,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0
319,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
320,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
321,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
322,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
323,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
324,3,8,2,0,1,0,0,1,0,0,0,1,0,0,0,1
325,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
326,3,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
327,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
328,3,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
329,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
330,3,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0
331,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
332,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
333,3,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0
334,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
335,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
336,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
337,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
338,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
339,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
340,2,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
341,1,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0
342,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
343,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
344,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
345,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
346,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
347,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
348,3,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0
349,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
350,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
351,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
352,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
353,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
354,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
355,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
356,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
357,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
358,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
359,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
360,3,1,4,0,1,0,0,1,0,0,0,1,0,0,1,0
361,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
362,3,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
363,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
364,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
365,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
366,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
367,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
368,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
369,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
370,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
371,3,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
372,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
373,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
374,3,3,1,1,0,1,0,0,0,0,0,1,0,0,1,0
375,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
376,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
377,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0
378,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
379,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
380,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
381,3,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0
382,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
383,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
384,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
385,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
386,3,5,2,0,1,1,0,0,0,0,0,1,0,0,0,1
387,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
388,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
389,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
390,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,1
391,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
392,3,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0
393,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
394,3,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0
395,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
396,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
397,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
398,2,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
399,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
400,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
401,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
402,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
403,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
404,3,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
